"","id","Q  Factor 1","Q Factor 2","Q Factor 3","Home Value","Loan Amount","Annual Income","Interest Rate (p.a.)","Term (months)","revenue","predict"
"16",16,"OLDER FAMILIES","MAINSTREAM","PROFESSIONALS",699887.631883645,550297.497120165,180210.357607961,0.049162717781961,35,13757.4374280041,"None"
"17",17,"YOUNG FAMILIES","MAINSTREAM","MANAGERIAL & EXECS",641556.39314339,465756.152336436,99758.2703988105,0.0369032959416509,20,11643.9038084109,"DEFAULT"
"18",18,"YOUNG COUPLES","PRIME","PROFESSIONALS",1262639.786381,902398.614617577,100137.59837652,0.0368297666721046,30,22559.9653654394,"DEFAULT"
"19",19,"OLDER COUPLES","PRIME","SELF EMPLOYED",1657196.28434051,1460098.13087216,222307.923994377,0.0503631242997944,40,36502.453271804,"None"
"20",20,"OLDER COUPLES","MAINSTREAM","PROFESSIONALS",2137074.56451982,1587488.02462594,206324.601183891,0.0481345998756588,40,39687.2006156484,"None"
"21",21,"YOUNG FAMILIES","MAINSTREAM","SELF EMPLOYED",1020463.21878616,876681.072091874,276453.427613527,0.036831130836159,20,21917.0268022968,"REFINANCE"
"22",22,"OLDER FAMILIES","PRIME","PROFESSIONALS",991205.715155548,730913.879451245,244435.662222221,0.0494998133555055,25,18272.8469862811,"None"
"23",23,"YOUNG FAMILIES","PRIME","PROFESSIONALS",1659764.47331406,1293639.65033256,128158.506832421,0.0454360102936626,35,32340.991258314,"None"
"24",24,"OLDER COUPLES","MAINSTREAM","TRADES & SERVICES",1351366.86411196,1028272.19610655,62478.379547134,0.0487226078473032,15,25706.8049026638,"None"
"25",25,"YOUNG SINGLES","MAINSTREAM","TRADES & SERVICES",1734050.15489571,1516019.2125009,62402.9163454399,0.0412937663570046,15,37900.4803125225,"DEFAULT"
"26",26,"OLDER FAMILIES","ECONOMICAL","TRADES & SERVICES",1150671.27134859,842109.109856332,67323.7409404218,0.0497130960561335,10,21052.7277464083,"DEFAULT"
"27",27,"YOUNG FAMILIES","ECONOMICAL","TRADES & SERVICES",1289598.72909158,1140521.18765546,213858.880538516,0.0369746922142804,15,28513.0296913866,"DEFAULT"
"28",28,"YOUNG SINGLES","ECONOMICAL","MANAGERIAL & EXECS",910536.202041802,730384.048180678,237794.65565189,0.0418789055906236,15,18259.601204517,"REFINANCE"
"29",29,"OLDER FAMILIES","ECONOMICAL","PROFESSIONALS",380235.714468764,303929.063247752,71183.5487537682,0.0491539098508656,35,7598.22658119381,"None"
"30",30,"OLDER COUPLES","PRIME","TRADES & SERVICES",1581444.03132213,1351840.30320095,184128.947599418,0.0487312564961612,25,33796.0075800238,"None"
"31",31,"YOUNG COUPLES","PRIME","TRADES & SERVICES",1932915.42845145,1388409.79174092,148095.06700702,0.042995734591037,40,34710.244793523,"None"
"32",32,"YOUNG COUPLES","ECONOMICAL","MANAGERIAL & EXECS",981862.540579819,780260.85633816,78807.3535339534,0.0475334151536226,10,19506.521408454,"None"
"33",33,"OLDER FAMILIES","ECONOMICAL","SELF EMPLOYED",294308.775014656,239187.66885479,178182.27384758,0.0455235096141696,30,5979.69172136975,"DEFAULT"
"34",34,"OLDER FAMILIES","PRIME","TRADES & SERVICES",131516.867009177,103918.611697372,140760.499506116,0.0423814364522696,10,2597.96529243431,"DEFAULT"
"35",35,"OLDER SINGLES","PRIME","SELF EMPLOYED",1585376.93726317,1274744.15784106,68218.3245209977,0.0398644423596561,40,31868.6039460265,"DEFAULT"
"36",36,"OLDER COUPLES","ECONOMICAL","PROFESSIONALS",1389714.24434248,988455.728368725,257965.375475794,0.0482529242709279,40,24711.3932092181,"None"
"37",37,"YOUNG FAMILIES","MAINSTREAM","SELF EMPLOYED",458715.84169094,369755.615107774,130202.938652791,0.0356957776546478,40,9243.89037769435,"DEFAULT"
"38",38,"YOUNG SINGLES","PRIME","MANAGERIAL & EXECS",976556.405657344,828482.461550118,187280.520289004,0.0482503091916442,15,20712.0615387529,"None"
"39",39,"YOUNG SINGLES","ECONOMICAL","MANAGERIAL & EXECS",1657091.39608763,1336000.02318203,145595.29398334,0.0471618787907064,30,33400.0005795508,"None"
"40",40,"OLDER SINGLES","PRIME","PROFESSIONALS",730139.747918745,554795.887838045,131148.099799775,0.0494760255180299,20,13869.8971959511,"None"
"41",41,"YOUNG FAMILIES","PRIME","MANAGERIAL & EXECS",820437.836117808,578239.398819905,256940.802316308,0.0492232068367302,15,14455.9849704976,"None"
"42",42,"OLDER FAMILIES","PRIME","SELF EMPLOYED",1127598.63956284,866272.726622466,233381.342868343,0.0369992583878338,20,21656.8181655617,"DEFAULT"
"43",43,"YOUNG SINGLES","PRIME","MANAGERIAL & EXECS",1246970.45719119,1096909.36466531,215027.064286314,0.0477880283482373,10,27422.7341166327,"None"
"44",44,"YOUNG FAMILIES","MAINSTREAM","PROFESSIONALS",688612.55108115,574895.829239586,111150.636780098,0.0362175904326141,15,14372.3957309897,"DEFAULT"
"45",45,"YOUNG COUPLES","MAINSTREAM","MANAGERIAL & EXECS",709866.057748124,628411.774745894,174129.08283478,0.0399252272471786,35,15710.2943686473,"None"
"46",46,"OLDER FAMILIES","PRIME","SELF EMPLOYED",334026.035656557,265253.725870293,265504.745134935,0.0450380996949971,15,6631.34314675732,"None"
"47",47,"OLDER COUPLES","ECONOMICAL","SELF EMPLOYED",638991.703742697,451475.812443645,278035.729370475,0.034791819754988,20,11286.8953110911,"DEFAULT"
"48",48,"YOUNG SINGLES","PRIME","SELF EMPLOYED",957908.498317306,780637.631123446,116438.165726028,0.04644389475137,40,19515.9407780862,"None"
"49",49,"YOUNG COUPLES","PRIME","PROFESSIONALS",382425.160004076,272342.522835504,145299.571817756,0.0459049372002482,10,6808.56307088759,"None"
"50",50,"OLDER SINGLES","ECONOMICAL","SELF EMPLOYED",520310.21839828,395827.478515482,279306.475288987,0.0437072952575982,40,9895.68696288706,"REFINANCE"
"51",51,"YOUNG FAMILIES","ECONOMICAL","PROFESSIONALS",540447.035649651,398201.387079256,49771.2414839193,0.0462704765126109,15,9955.0346769814,"None"
"52",52,"OLDER FAMILIES","MAINSTREAM","PROFESSIONALS",1171032.26717582,868527.918199374,95453.4750920385,0.0412448082454503,40,21713.1979549843,"DEFAULT"
"53",53,"YOUNG FAMILIES","PRIME","SELF EMPLOYED",1213224.64273282,887574.827322028,108249.066405647,0.0384948911331594,15,22189.3706830507,"DEFAULT"
"54",54,"YOUNG SINGLES","PRIME","SELF EMPLOYED",645909.324985615,521348.284797041,267991.451306537,0.034760371375829,25,13033.707119926,"REFINANCE"
"55",55,"YOUNG FAMILIES","PRIME","MANAGERIAL & EXECS",1035083.50450373,775228.852366031,196917.33101368,0.040976369805634,30,19380.7213091508,"None"
"56",56,"OLDER COUPLES","PRIME","SELF EMPLOYED",581499.207956045,417072.241721014,249912.337334663,0.0503408451750875,20,10426.8060430254,"None"
"57",57,"YOUNG SINGLES","MAINSTREAM","PROFESSIONALS",752008.707465867,579768.542669323,264808.129608311,0.0409722023643553,35,14494.2135667331,"REFINANCE"
"58",58,"YOUNG COUPLES","ECONOMICAL","SELF EMPLOYED",327025.286659109,233267.276827862,131723.351632707,0.0385615940839052,10,5831.68192069655,"DEFAULT"
"59",59,"YOUNG SINGLES","ECONOMICAL","SELF EMPLOYED",943077.388541598,843642.559775318,100881.340791494,0.0460454196073115,30,21091.063994383,"None"
"60",60,"OLDER SINGLES","MAINSTREAM","TRADES & SERVICES",195831.121398702,148282.528828427,51955.4283071309,0.046353217355907,25,3707.06322071069,"DEFAULT"
"61",61,"YOUNG SINGLES","ECONOMICAL","SELF EMPLOYED",1506896.79252656,1285878.40027706,178938.281622499,0.0379208549708128,35,32146.9600069264,"DEFAULT"
"62",62,"YOUNG SINGLES","ECONOMICAL","PROFESSIONALS",1120956.2547786,982314.247908162,112074.3497876,0.0392345851324499,25,24557.8561977041,"DEFAULT"
"63",63,"YOUNG COUPLES","MAINSTREAM","PROFESSIONALS",1684538.59145921,1432511.3869621,47262.9547358826,0.0483376423791051,25,35812.7846740524,"None"
"64",64,"OLDER FAMILIES","MAINSTREAM","SELF EMPLOYED",1312910.37086355,1152204.96909256,176893.406911954,0.0424172241128981,15,28805.124227314,"DEFAULT"
"65",65,"OLDER SINGLES","MAINSTREAM","MANAGERIAL & EXECS",615006.96010098,499319.406678621,144162.496510491,0.0383116324134171,10,12482.9851669655,"DEFAULT"
"66",66,"YOUNG FAMILIES","PRIME","TRADES & SERVICES",231576.91168712,167869.80684671,256122.751990028,0.0414875029064715,10,4196.74517116775,"None"
"67",67,"YOUNG FAMILIES","PRIME","PROFESSIONALS",744591.050136128,565419.925068638,240140.811361074,0.0398718210756779,35,14135.4981267159,"None"
"68",68,"OLDER COUPLES","MAINSTREAM","MANAGERIAL & EXECS",1350244.81906707,1000660.25163032,237299.004292987,0.044189227335155,40,25016.5062907579,"None"
"69",69,"OLDER SINGLES","PRIME","MANAGERIAL & EXECS",635293.461368563,531538.731591963,195108.988813773,0.0365803048983216,15,13288.4682897991,"DEFAULT"
"70",70,"YOUNG SINGLES","PRIME","TRADES & SERVICES",1677938.4443845,1279431.12759849,276877.396116823,0.0491131583042443,30,31985.7781899623,"None"
"71",71,"YOUNG FAMILIES","ECONOMICAL","PROFESSIONALS",1062636.82265896,848348.582121391,188243.198136188,0.0361403996571898,35,21208.7145530348,"DEFAULT"
"72",72,"YOUNG COUPLES","ECONOMICAL","TRADES & SERVICES",1509847.26474707,1189653.44018938,157859.250298314,0.034996494948864,35,29741.3360047345,"DEFAULT"
"73",73,"YOUNG COUPLES","ECONOMICAL","SELF EMPLOYED",579657.212775986,482940.669356739,279240.359365702,0.0430676170177758,30,12073.5167339185,"None"
"74",74,"OLDER COUPLES","MAINSTREAM","SELF EMPLOYED",1714193.08572602,1363906.72065197,181229.697971717,0.039677092615515,35,34097.6680162993,"DEFAULT"
"75",75,"OLDER COUPLES","ECONOMICAL","MANAGERIAL & EXECS",1581414.45465348,1180398.29330058,80626.2455576807,0.0362094842046499,40,29509.9573325145,"DEFAULT"
"76",76,"OLDER COUPLES","PRIME","MANAGERIAL & EXECS",1929323.38223224,1372106.93109766,76147.9521444291,0.0452003091163933,40,34302.6732774415,"None"
"77",77,"YOUNG COUPLES","PRIME","SELF EMPLOYED",1627872.71674576,1289486.35772351,152299.521296792,0.0352797444574535,10,32237.1589430878,"DEFAULT"
"78",78,"OLDER SINGLES","PRIME","TRADES & SERVICES",176621.691901543,123887.854289505,274128.886553548,0.0448037949167192,15,3097.19635723763,"None"
"79",79,"OLDER COUPLES","MAINSTREAM","PROFESSIONALS",218524.950575831,191237.707243952,82266.8712977469,0.0348412602767348,35,4780.9426810988,"DEFAULT"
"80",80,"OLDER FAMILIES","MAINSTREAM","TRADES & SERVICES",1717774.15181646,1233416.76854959,178716.699741356,0.0437131264694035,15,30835.4192137399,"DEFAULT"
"81",81,"YOUNG FAMILIES","PRIME","MANAGERIAL & EXECS",1142986.04225431,890078.665006311,224117.17476429,0.0475512369833887,30,22251.9666251578,"None"
"82",82,"OLDER COUPLES","MAINSTREAM","PROFESSIONALS",238014.966480593,180851.522050944,46631.1179717556,0.0417114552818239,40,4521.2880512736,"DEFAULT"
"83",83,"OLDER FAMILIES","PRIME","SELF EMPLOYED",366280.552560489,320509.128743106,57937.0893214867,0.0407083708383143,35,8012.72821857764,"DEFAULT"
"84",84,"YOUNG FAMILIES","PRIME","MANAGERIAL & EXECS",1021682.07414388,747389.64756944,106408.496502586,0.0364163325317204,40,18684.741189236,"DEFAULT"
"85",85,"YOUNG COUPLES","PRIME","SELF EMPLOYED",1391439.79695153,1086954.78857049,68963.0634807572,0.0408477465808392,35,27173.8697142623,"None"
"86",86,"OLDER FAMILIES","ECONOMICAL","SELF EMPLOYED",1237167.55339039,928067.05444831,162479.963987149,0.0448782060705125,40,23201.6763612077,"REFINANCE"
"87",87,"OLDER FAMILIES","MAINSTREAM","PROFESSIONALS",1353489.67244052,1097355.40862555,266422.746931478,0.0477387709580362,10,27433.8852156388,"None"
"88",88,"OLDER SINGLES","ECONOMICAL","SELF EMPLOYED",1078396.35590719,886009.203100332,203593.12225318,0.0389789745993912,20,22150.2300775083,"DEFAULT"
"89",89,"OLDER FAMILIES","PRIME","MANAGERIAL & EXECS",1678918.35034646,1412976.88061292,95301.8128843531,0.042900149859488,10,35324.422015323,"DEFAULT"
"90",90,"YOUNG COUPLES","PRIME","SELF EMPLOYED",942527.281533873,795068.951683939,45206.9062229395,0.0478470030650497,20,19876.7237920985,"None"
"91",91,"YOUNG FAMILIES","ECONOMICAL","TRADES & SERVICES",1593806.2963494,1232599.81809098,155558.533758141,0.0383313728049397,10,30814.9954522746,"DEFAULT"
"92",92,"YOUNG SINGLES","ECONOMICAL","TRADES & SERVICES",1752466.24074046,1334155.48751074,52909.0049260035,0.043674398791045,15,33353.8871877686,"DEFAULT"
"93",93,"YOUNG COUPLES","PRIME","MANAGERIAL & EXECS",899528.35880955,776160.090322307,54920.8824473247,0.0371871441602707,30,19404.0022580577,"DEFAULT"
"94",94,"YOUNG SINGLES","ECONOMICAL","TRADES & SERVICES",860192.007715101,702682.745548112,235537.208627172,0.0436845895983279,15,17567.0686387028,"None"
"95",95,"OLDER FAMILIES","PRIME","PROFESSIONALS",1845658.90314026,1493381.54375909,211068.810013786,0.0482365877553821,30,37334.5385939772,"None"
"96",96,"YOUNG FAMILIES","ECONOMICAL","TRADES & SERVICES",1771812.04659905,1263507.34473401,199083.555118524,0.0502738236449659,40,31587.6836183502,"None"
"97",97,"OLDER FAMILIES","MAINSTREAM","MANAGERIAL & EXECS",1198429.3390832,971728.016401532,256324.753589861,0.0418815355561674,35,24293.2004100383,"REFINANCE"
"98",98,"OLDER SINGLES","PRIME","SELF EMPLOYED",1999633.9996883,1753796.68090854,62202.2873755917,0.0410955978557467,25,43844.9170227136,"DEFAULT"
"99",99,"YOUNG COUPLES","ECONOMICAL","SELF EMPLOYED",1567825.22792666,1329439.43526495,179174.549594373,0.0480340342894197,20,33235.9858816237,"None"
"100",100,"YOUNG FAMILIES","ECONOMICAL","MANAGERIAL & EXECS",659549.69432723,577835.903648247,78220.1027789786,0.050495152041316,40,14445.8975912062,"None"
"101",101,"OLDER FAMILIES","MAINSTREAM","TRADES & SERVICES",1805004.69612455,1571537.32328537,197738.462523945,0.044853747498244,15,39288.4330821343,"DEFAULT"
"102",102,"YOUNG COUPLES","MAINSTREAM","PROFESSIONALS",1080804.58652003,825906.357422832,199219.126599431,0.0392236568965018,25,20647.6589355708,"None"
"103",103,"OLDER SINGLES","ECONOMICAL","SELF EMPLOYED",1508543.55149296,1075375.68931654,131259.899043031,0.040191368829459,35,26884.3922329135,"DEFAULT"
"104",104,"YOUNG FAMILIES","PRIME","MANAGERIAL & EXECS",1927105.24285032,1599883.65261078,70733.0542625859,0.0355090908259153,35,39997.0913152696,"DEFAULT"
"105",105,"OLDER COUPLES","MAINSTREAM","TRADES & SERVICES",1025120.50175339,800505.598307777,164552.079040788,0.0459766566492617,10,20012.6399576944,"None"
"106",106,"YOUNG SINGLES","PRIME","TRADES & SERVICES",1530905.3212403,1331345.03759918,215301.849962562,0.0486177342198789,35,33283.6259399794,"None"
"107",107,"OLDER SINGLES","PRIME","TRADES & SERVICES",176320.586153447,143555.496918531,172130.175309494,0.0492274313904345,10,3588.88742296326,"None"
"108",108,"YOUNG COUPLES","ECONOMICAL","MANAGERIAL & EXECS",1536660.34584789,1114560.8900917,65803.7050511315,0.0380100510343909,20,27864.0222522924,"DEFAULT"
"109",109,"OLDER SINGLES","MAINSTREAM","PROFESSIONALS",2074043.68628868,1705493.43440311,58146.2928998247,0.0364086225517094,35,42637.3358600778,"DEFAULT"
"110",110,"OLDER SINGLES","ECONOMICAL","MANAGERIAL & EXECS",1658346.82110599,1323593.70424576,41055.0702351704,0.0429604731462896,10,33089.8426061439,"DEFAULT"
"111",111,"YOUNG FAMILIES","PRIME","SELF EMPLOYED",2061956.56399421,1542156.85783001,58639.3902531341,0.0451524294987321,40,38553.9214457502,"None"
"112",112,"OLDER FAMILIES","MAINSTREAM","MANAGERIAL & EXECS",343366.353013055,285315.059277982,66776.0787244216,0.0496219575963914,35,7132.87648194956,"None"
"113",113,"OLDER SINGLES","MAINSTREAM","MANAGERIAL & EXECS",561136.260453057,447697.769785259,208023.8031573,0.0401365275979042,15,11192.4442446315,"DEFAULT"
"114",114,"OLDER SINGLES","MAINSTREAM","MANAGERIAL & EXECS",1633061.43538949,1398216.05173034,220096.777286083,0.0418063570745289,15,34955.4012932584,"DEFAULT"
"115",115,"OLDER COUPLES","ECONOMICAL","PROFESSIONALS",1802563.16962975,1502904.4927815,167203.155949481,0.0437405368052423,20,37572.6123195375,"DEFAULT"
"116",116,"YOUNG COUPLES","PRIME","PROFESSIONALS",672611.838423956,476953.589991977,114597.137404546,0.0415835944265127,20,11923.8397497994,"None"
"117",117,"OLDER SINGLES","ECONOMICAL","PROFESSIONALS",735432.253772948,561706.797841049,139668.251901254,0.0500663557387888,20,14042.6699460262,"None"
"118",118,"YOUNG FAMILIES","MAINSTREAM","MANAGERIAL & EXECS",1879715.16185253,1480099.24091284,103824.028622799,0.0465703584775329,10,37002.481022821,"None"
"119",119,"YOUNG FAMILIES","ECONOMICAL","MANAGERIAL & EXECS",265355.122164334,210242.050915643,49577.1276190132,0.0370149550512433,40,5256.05127289106,"DEFAULT"
"120",120,"YOUNG FAMILIES","PRIME","TRADES & SERVICES",626833.981719567,549245.762545665,147274.57126116,0.0446964858472347,20,13731.1440636416,"None"
"121",121,"YOUNG COUPLES","ECONOMICAL","PROFESSIONALS",398745.327853744,317139.759994057,229368.578808129,0.0461675962843001,10,7928.49399985143,"None"
"122",122,"YOUNG FAMILIES","PRIME","TRADES & SERVICES",799182.254700686,636997.083940813,150341.497634374,0.0411604417264462,20,15924.9270985203,"None"
"123",123,"OLDER FAMILIES","PRIME","TRADES & SERVICES",181302.666688278,153443.195668121,60209.9462878332,0.0355940161161125,15,3836.07989170302,"DEFAULT"
"124",124,"YOUNG SINGLES","ECONOMICAL","SELF EMPLOYED",493018.28136592,384555.187026399,172789.438811533,0.0495283759199083,20,9613.87967565998,"None"
"125",125,"YOUNG FAMILIES","PRIME","MANAGERIAL & EXECS",990959.251595107,863600.38348566,101721.794412002,0.0439352841936052,35,21590.0095871415,"None"
"126",126,"OLDER FAMILIES","PRIME","SELF EMPLOYED",1720498.21355444,1263630.90308775,124536.884561852,0.0457480124160647,20,31590.7725771937,"DEFAULT"
"127",127,"OLDER SINGLES","ECONOMICAL","SELF EMPLOYED",2144896.78440074,1824422.46577123,86097.1514795944,0.0451522577404976,10,45610.5616442807,"DEFAULT"
"128",128,"OLDER SINGLES","ECONOMICAL","SELF EMPLOYED",373060.931660996,284062.664934842,60636.9245340079,0.04543089010939,40,7101.56662337105,"DEFAULT"
"129",129,"YOUNG SINGLES","MAINSTREAM","MANAGERIAL & EXECS",223257.351048453,200585.484467483,158475.562446386,0.0419651293791831,10,5014.63711168707,"REFINANCE"
"130",130,"YOUNG FAMILIES","MAINSTREAM","PROFESSIONALS",1319909.67231686,976279.468241454,188337.859780721,0.0423905352130532,25,24406.9867060363,"None"
"131",131,"OLDER FAMILIES","ECONOMICAL","TRADES & SERVICES",1980635.71092915,1475731.79001179,121166.396213435,0.0491059357114136,25,36893.2947502948,"None"
"132",132,"OLDER SINGLES","ECONOMICAL","TRADES & SERVICES",1490681.6265369,1203240.62934072,226383.353746675,0.0378265682086349,15,30081.015733518,"DEFAULT"
"133",133,"YOUNG SINGLES","PRIME","PROFESSIONALS",1628658.90977629,1234084.67683015,163184.305542678,0.0380269500687718,40,30852.1169207538,"REFINANCE"
"134",134,"OLDER FAMILIES","ECONOMICAL","TRADES & SERVICES",1376157.00038858,1151337.35952412,123080.289548129,0.0399795003458858,40,28783.433988103,"DEFAULT"
"135",135,"OLDER FAMILIES","ECONOMICAL","SELF EMPLOYED",1057354.96557941,815714.765066995,241246.020639278,0.0393149393610656,15,20392.8691266749,"DEFAULT"
"136",136,"YOUNG SINGLES","ECONOMICAL","MANAGERIAL & EXECS",1278270.39210838,1043834.84447957,174287.436320394,0.0500122039876878,35,26095.8711119894,"None"
"137",137,"OLDER COUPLES","MAINSTREAM","MANAGERIAL & EXECS",1354488.71646966,1016677.73436447,109834.189946659,0.0385511016212404,20,25416.9433591117,"DEFAULT"
"138",138,"OLDER FAMILIES","ECONOMICAL","SELF EMPLOYED",2035456.91075444,1744080.34748261,215835.814086497,0.038583662815392,40,43602.0086870653,"DEFAULT"
"139",139,"YOUNG COUPLES","MAINSTREAM","PROFESSIONALS",1780248.29785095,1401106.76727333,42395.8665883839,0.042615750707686,20,35027.6691818332,"None"
"140",140,"YOUNG FAMILIES","ECONOMICAL","PROFESSIONALS",2099464.59299963,1605591.93984149,269624.736263447,0.0421983373612165,25,40139.7984960372,"REFINANCE"
"141",141,"YOUNG COUPLES","PRIME","PROFESSIONALS",2081293.84032442,1813816.75642799,48630.9756805152,0.0426699272915721,25,45345.4189106998,"None"
"142",142,"YOUNG FAMILIES","PRIME","TRADES & SERVICES",740331.031882291,656224.001643241,72942.9497181624,0.0408869102448225,40,16405.600041081,"None"
"143",143,"YOUNG SINGLES","ECONOMICAL","MANAGERIAL & EXECS",1522380.38495193,1091230.68260413,236568.462507613,0.0390575220026076,40,27280.7670651033,"REFINANCE"
"144",144,"OLDER COUPLES","MAINSTREAM","TRADES & SERVICES",1811422.97901775,1345431.44905839,152542.854118228,0.0474878631271422,30,33635.7862264597,"None"
"145",145,"OLDER COUPLES","PRIME","MANAGERIAL & EXECS",1031748.90670736,905739.012535973,144581.682648927,0.0411418144926429,35,22643.4753133993,"DEFAULT"
"146",146,"YOUNG COUPLES","PRIME","SELF EMPLOYED",170503.881396711,137859.446776914,264851.3910245,0.0388252009265125,40,3446.48616942286,"None"
"147",147,"OLDER COUPLES","MAINSTREAM","MANAGERIAL & EXECS",600204.323111344,466918.550430126,151601.104493544,0.0399528356306255,30,11672.9637607531,"DEFAULT"
"148",148,"YOUNG SINGLES","PRIME","TRADES & SERVICES",113628.481533273,100133.976328156,246598.363593474,0.0364388243295252,10,2503.34940820389,"REFINANCE"
"149",149,"YOUNG COUPLES","PRIME","TRADES & SERVICES",1360641.4379711,1126569.1889778,256105.692088395,0.0389595249593258,35,28164.2297244449,"None"
"150",150,"OLDER COUPLES","MAINSTREAM","PROFESSIONALS",1256749.63793053,962027.928711731,268172.062690601,0.0410256705097854,10,24050.6982177933,"REFINANCE"
"151",151,"OLDER COUPLES","ECONOMICAL","SELF EMPLOYED",606495.526019595,456051.979368973,224541.584146909,0.0449290677346289,20,11401.2994842243,"None"
"152",152,"OLDER COUPLES","PRIME","SELF EMPLOYED",1654336.03463958,1300957.48373895,183615.749768533,0.0356883066631854,20,32523.9370934738,"DEFAULT"
"153",153,"YOUNG FAMILIES","ECONOMICAL","TRADES & SERVICES",1196036.97796584,953896.171440064,51106.874695085,0.0393974016830325,35,23847.4042860016,"DEFAULT"
"154",154,"OLDER SINGLES","ECONOMICAL","TRADES & SERVICES",1540547.95615424,1082354.91840283,185177.927587964,0.0366136297918856,15,27058.8729600707,"DEFAULT"
"155",155,"YOUNG COUPLES","MAINSTREAM","SELF EMPLOYED",539317.94885637,468787.657585409,97148.5415805355,0.0470077164061368,10,11719.6914396352,"None"
"156",156,"YOUNG FAMILIES","PRIME","SELF EMPLOYED",312411.031113141,262339.960221219,171436.50110092,0.0503419602252543,30,6558.49900553048,"None"
"157",157,"YOUNG FAMILIES","ECONOMICAL","SELF EMPLOYED",360077.486534321,259489.282612634,109562.445963494,0.0427942940965295,20,6487.23206531586,"None"
"158",158,"YOUNG COUPLES","PRIME","MANAGERIAL & EXECS",288023.613165355,256963.238876492,195709.475499973,0.0478270370736718,20,6424.0809719123,"None"
"159",159,"OLDER SINGLES","MAINSTREAM","SELF EMPLOYED",1093816.00503478,944857.523668461,158217.752886266,0.0346639823950827,20,23621.4380917115,"DEFAULT"
"160",160,"YOUNG SINGLES","ECONOMICAL","MANAGERIAL & EXECS",1836374.49800442,1464757.75769087,228349.195099339,0.0355068969726563,10,36618.9439422718,"DEFAULT"
"161",161,"OLDER FAMILIES","MAINSTREAM","TRADES & SERVICES",798868.717492775,706820.681606534,159416.263132416,0.0404901809953153,10,17670.5170401634,"DEFAULT"
"162",162,"OLDER SINGLES","MAINSTREAM","SELF EMPLOYED",1991545.09133825,1643144.02546348,212931.963796765,0.0465202511884272,10,41078.6006365869,"REFINANCE"
"163",163,"YOUNG COUPLES","PRIME","MANAGERIAL & EXECS",817658.622853555,713569.176114223,162088.443431169,0.0459975931495428,40,17839.2294028556,"None"
"164",164,"OLDER FAMILIES","PRIME","TRADES & SERVICES",1161696.93007173,844114.315529845,88792.4872429743,0.0449692319482565,40,21102.8578882461,"DEFAULT"
"165",165,"YOUNG SINGLES","ECONOMICAL","TRADES & SERVICES",432809.838230297,349484.87124525,173665.674707279,0.0357546177618206,30,8737.12178113125,"DEFAULT"
